hash, user, site_admin, author_date, empty, forward_engineering, corrective_engineering, reengineering, uncategorized, management, empty_percent, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent, classification
8962004f0819fe5f01cf7998153514de077bcc4a,anroots,false,2015-01-22T17:31:58Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
3e89f9c36965b436253554c8b8ee385172c3b713,xrd,false,2014-12-29T19:04:52Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
b2d8074dcdfb0c050b906303e3b6ec501c3a7e26,xuoe,false,2015-08-30T21:18:54Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
ace4df5468bfa220083e464da3a53dcaa313b042,ahayworth,false,2014-10-16T22:48:43Z,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
a4ed69d1570bd665179d9e44db0c5134444de3e2,akiomik,false,2014-11-19T09:16:22Z,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
91d8bf65daa5450ce1bae8b1b0943199fd9d9783,thiagopnts,false,2013-08-24T20:21:49Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
407ca4b76ffa282f5dbcadc1218e87bf371e6f58,tricknotes,false,2014-05-17T05:40:07Z,0.0,4.0,8.0,1.0,3.0,5.0,0.0,0.19047619047619047,0.38095238095238093,0.047619047619047616,0.14285714285714285,0.23809523809523808,Reengineering
1cc4e06962e22c6fa910a6df3e5a34836da855bf,mgriffin,true,2013-10-04T16:18:35Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
fb19348911ef4e632b8f6052e0ee08b9ad1c419c,geoffreyanderson,false,2015-06-21T19:46:02Z,0.0,4.0,0.0,6.0,5.0,6.0,0.0,0.19047619047619047,0.0,0.2857142857142857,0.23809523809523808,0.2857142857142857,Reengineering
88ec7305f5c915443c7179730e2ebbe6c2d0d674,commadelimited,false,2013-08-16T13:45:26Z,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
d3980a04de38e32135a47cda613c6ddf9617c94f,ymendel,false,2014-02-27T22:26:23Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
2350a6fdf2bd59fa5a794e2c4a614999072bd100,MrSaints,false,2014-10-26T20:55:47Z,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
09ad21f009f7ab7e016d198aae8dab2c6dd41e8f,balbeko,false,2013-08-25T10:07:16Z,0.0,21.0,0.0,18.0,2.0,4.0,0.0,0.4666666666666667,0.0,0.4,0.044444444444444446,0.08888888888888889,Forward Engineering
c753f8ef96bb588b3532ab6144c636e795e5f257,tombell,false,2014-10-27T14:11:53Z,0.0,37.0,151.0,315.0,96.0,351.0,0.0,0.03894736842105263,0.15894736842105264,0.33157894736842103,0.10105263157894737,0.36947368421052634,Reengineering
89faa39d5821e709d35a8a1f8319963a2aaead4a,joshuarubin,false,2014-01-09T16:38:50Z,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,Uncategorized
43db1186772794b854b9532afb5aaabb829c05c3,kballard,false,2014-12-15T22:23:28Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
58894c1ee8dfa26ad65c36d20c36147cd1affe8d,halkeye,false,2013-07-25T20:56:55Z,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,Uncategorized
a0060677bf92150759ac71faf54a49b7bab8d72a,brianshumate,false,2014-12-16T15:09:28Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
fe76a24581f4f0a6569bea6315bad36548e43374,jjasghar,false,2014-08-18T23:16:26Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
e422404c0251cb507c1a52f2c5b091347f38373c,ngs,false,2014-06-11T20:19:41Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
d018d6fd51afc0a68d4ff83b57f60b1b4263770b,charlie-hadden,false,2014-08-22T09:53:10Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
3d5f60a7d412f72ce4232158c4af7f9662faf374,afeld,false,2015-02-17T07:11:01Z,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,Forward Engineering
27d278754b7e4383cf4d5e5ee462792016e762ac,jdennes,true,2013-06-24T18:59:27Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
af436f86b9aad6c255587b24e3434abbec508a51,hhaidar,false,2015-02-15T03:23:39Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
14692b76b1f9b0c6a5bbd3f0b4512575d43b7a1d,michaelansel,false,2015-08-26T01:18:00Z,0.0,1493.0,501.0,1609.0,894.0,1719.0,0.0,0.2401866151866152,0.0805984555984556,0.2588481338481338,0.1438223938223938,0.2765444015444015,Management
eaa8ef13d3a79746eb0dc30e62e2b080f58a4751,thiagogabriel,false,2014-05-11T03:43:55Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
18d38888363f3f4b2112f5e6e864cebc593f01d8,canadianveggie,false,2014-05-08T19:02:07Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
a515bea1ec8ef77a6adf231f24511f23fe1a1a29,danielcompton,false,2015-08-28T10:47:13Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
0dadc9bb911ec402e51190387a760083a989becc,adamgross42,false,2015-05-17T22:36:46Z,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5,Uncategorized
39c9318417cecf4a044c54b1bda8fc934a710a01,spajus,false,2014-01-12T09:16:57Z,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,Reengineering
b462008e72e2c2d9afc173feca596928f34dad06,mcmahoniel,false,2015-03-15T00:49:52Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
d53e399fa0a6a2f0b441aafb869d1640d12785e0,technicalpickles,true,2017-06-23T21:46:29Z,0.0,9963.0,6285.0,5376.0,16176.0,28641.0,0.0,0.14995258951551,0.09459520476814015,0.08091389352959769,0.2434641260667359,0.43107418612001625,Management
10aedc2f6d94f9af62cc0b62b98998ba9c25d6d2,ChrisLundquist,false,2015-04-10T20:19:36Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
ed9a5177dee83b4aad870e413b8bbb2295b28ffb,smerrill,false,2013-11-22T22:32:17Z,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,Forward Engineering
48a5fb6f5130f337eca639d393f5299296b590ff,jaythomas,false,2017-10-13T22:43:01Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
802e37bcabb4ad3ee28354862bf5a0fd2f7e404a,sethjackson,false,2014-10-08T01:15:32Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
ef4ddae53a433dd437fc1177218846cee1046826,needcaffeine,false,2013-07-25T03:43:28Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
