id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
14284,closed,trikyas,false,trikyas,false,0,3,343,0,343
14283,open,hg42,false,null,false,null,22,388,0,null
14282,closed,jpca999,false,50Wliu,false,0,2,343,0,343
14281,closed,jpca999,false,50Wliu,false,0,5,344,0,343
14280,closed,jpca999,false,50Wliu,false,0,4,344,0,344
14279,closed,dgsimone15,false,lee-dohm,true,2,12,342,2,342
14278,closed,minjurul,false,50Wliu,false,0,2,344,0,344
14277,closed,steakknife,false,stale[bot],false,390,4,373,2,14
14275,closed,alex,false,rsese,true,0,3,345,0,345
14274,closed,Yajo,false,50Wliu,false,0,3,345,0,345
14273,open,bronson,false,null,false,null,11,327,5,null
14272,closed,atz,false,rsese,true,3,2,342,3,342
14270,closed,GeorgeWL,false,rsese,true,0,2,345,0,345
14268,closed,hailedangGT,false,hailedangGT,false,0,4,346,0,346
14267,closed,YannBrrd,false,50Wliu,false,0,2,346,0,346
14266,closed,johny-mnemonic,false,stale[bot],false,379,1,0,365,14
14265,open,FezVrasta,false,null,false,null,18,291,0,null
14264,closed,shanept,false,damieng,false,27,15,344,0,317
14263,closed,1st1,false,50Wliu,false,0,4,347,0,347
14260,closed,ClockworkSquirrel,false,rsese,true,47,13,344,0,297
14259,closed,roobinmason,false,thomasjo,false,0,2,347,0,347
14258,closed,ryanerwin,false,damieng,false,6,10,347,0,341
14257,closed,henning,false,stale[bot],false,380,8,365,0,14
14256,open,levani,false,null,false,null,3,1,0,null
14255,closed,fyeeme,false,Ben3eeE,false,0,2,347,0,347
14253,closed,mediabeastnz,false,rsese,true,0,3,348,0,348
14252,closed,ungb,false,as-cii,true,15,3,347,0,332
14251,closed,iamvyacheslav,false,50Wliu,false,0,2,348,0,348
14248,closed,corysimmons,false,50Wliu,false,0,3,348,0,348
14246,closed,eltian,false,50Wliu,false,0,2,348,0,348
14245,closed,tatsujb,false,thomasjo,false,0,2,348,0,348
14244,closed,shanept,false,50Wliu,false,0,1,0,348,348
14242,open,jeffswt,false,null,false,null,6,0,0,null
14241,closed,ooJerryLeeoo,false,ooJerryLeeoo,false,96,1,0,347,250
14240,open,enrique2210,false,ungb,false,null,22,247,0,null
14238,closed,GustavoDinizMonteiro,false,rsese,true,0,3,349,0,349
14237,closed,noe132,false,nathansobo,true,122,18,347,0,225
14236,closed,ungb,false,50Wliu,false,0,2,349,0,349
14235,closed,tatsujb,false,rsese,true,0,2,349,0,349
14234,closed,modulexcite,false,modulexcite,false,0,6,349,0,348
14233,closed,simpzan,false,Arcanemagus,false,365,3,365,0,0
14232,closed,AStupidBear,false,rsese,true,0,2,349,0,349
14231,closed,yacut,false,maxbrunsfeld,true,31,6,347,1,317
14230,closed,carrodher,false,carrodher,false,1,9,391,0,390
14229,closed,vertextao,false,rsese,true,0,2,350,0,350
14228,closed,meafmira,false,rsese,true,1,4,349,1,348
14227,open,meafmira,false,rsese,true,null,26,353,1,null
14226,closed,p0lm,false,50Wliu,false,1,3,349,1,349
14224,closed,TETRA2000,false,stale[bot],false,380,1,0,366,14
14222,closed,UziTech,false,stale[bot],false,379,1,0,365,14
14220,closed,krisUneon,false,rsese,true,2,2,349,2,349
14219,closed,baosen,false,rsese,true,1,2,350,1,350
14218,closed,jerrybing,false,jerrybing,false,0,2,351,0,351
14216,closed,ozo2003,false,50Wliu,false,2,2,349,2,349
14215,closed,avi123456,false,rsese,true,1,2,350,1,350
14214,closed,avi123456,false,rsese,true,1,4,350,1,350
14213,closed,yanxiaobo,false,rsese,true,1,2,350,1,350
14212,closed,AluminiumTech,false,rsese,true,2,3,351,0,350
14211,closed,felipecrp,false,50Wliu,false,0,3,352,0,352
14209,closed,ungb,false,maxbrunsfeld,true,2,3,352,0,349
14208,closed,igorvolnyi,false,rsese,true,0,4,352,0,352
14207,closed,plexigras,false,rsese,true,0,2,352,0,352
14206,closed,ooJerryLeeoo,false,ooJerryLeeoo,false,3,17,352,0,349
14204,closed,thiagolucio,false,50Wliu,false,0,2,353,0,353
14202,closed,ungb,false,nathansobo,true,0,2,353,0,353
14201,closed,ungb,false,as-cii,true,276,6,276,0,0
14200,closed,steelbrain,false,ungb,false,0,6,353,0,353
14199,closed,aleclarson,false,lee-dohm,true,0,7,262,0,262
14198,closed,chrisdrackett,false,iolsen,true,14,4,353,0,339
14197,closed,dnass,false,simurai,true,133,6,351,0,218
14196,closed,xneomac,false,rsese,true,0,4,353,0,353
14195,closed,feketegy,false,feketegy,false,1,4,353,0,352
14193,closed,phyllisstein,false,as-cii,true,0,4,354,0,353
14192,closed,shanept,false,shanept,false,4,5,352,1,349
14191,closed,discentem,false,50Wliu,false,0,2,354,0,354
14190,closed,50Wliu,false,stale[bot],false,379,1,0,365,14
14189,closed,ungb,false,maxbrunsfeld,true,118,6,352,0,233
14187,closed,piotaixr,false,piotaixr,false,0,3,354,0,354
14186,closed,ungb,false,stale[bot],false,379,2,365,0,14
14185,closed,50Wliu,false,50Wliu,false,0,2,354,0,354
14184,closed,50Wliu,false,maxbrunsfeld,true,0,2,354,0,354
14182,closed,JonasT,false,50Wliu,false,0,6,354,0,354
14181,closed,ghost,false,rsese,true,0,3,342,0,342
14180,closed,ghulamhussain,false,rsese,true,0,2,354,0,354
14179,closed,olegst90,false,rsese,true,0,2,354,0,354
14176,open,50Wliu,false,null,false,null,11,344,5,null
14173,closed,50Wliu,false,maxbrunsfeld,true,0,2,355,0,355
14172,closed,mirosval,false,rsese,true,15,6,353,2,340
14171,closed,kleindienst,false,lee-dohm,true,0,3,354,0,354
14170,closed,noe132,false,noe132,false,0,1,0,356,356
14169,closed,tailorsira,false,Ben3eeE,false,0,2,356,0,356
14167,closed,tonycody,false,thomasjo,false,0,3,356,0,356
14165,closed,50Wliu,false,50Wliu,false,63,2,291,63,291
14163,closed,damieng,false,damieng,false,119,11,354,0,234
14162,closed,chrisdrackett,false,lee-dohm,true,111,15,354,0,242
14160,closed,VitaliyLi,false,50Wliu,false,0,2,356,0,356
14159,closed,JerryGoyal,false,thomasjo,false,0,3,356,0,356
14158,closed,tlystad24,false,rsese,true,15,6,357,0,342
14157,closed,lordjbs,false,Arcanemagus,false,365,2,0,365,0
14156,closed,butirpadi,false,50Wliu,false,0,2,359,0,359
14155,closed,matthewwithanm,false,nathansobo,true,2,4,359,0,356
14154,closed,srseven,false,lee-dohm,true,0,2,359,0,359
14153,closed,srseven,false,50Wliu,false,0,4,359,0,359
14152,closed,am3crt,false,50Wliu,false,0,3,359,0,359
14151,closed,zz4fap,false,rsese,true,0,9,358,0,357
14150,closed,tinymins,false,damieng,false,3,8,359,0,356
14149,closed,usemodj,false,50Wliu,false,0,2,359,0,359
14148,open,MoritzKn,false,null,false,null,6,1,163,null
14147,open,dbachko,false,null,false,null,5,3,0,null
14145,closed,tsaiid,false,as-cii,true,279,23,323,0,44
14144,closed,patmcd,false,thomasjo,false,1,5,360,0,360
14142,closed,CybersHere,false,rsese,true,0,2,361,0,361
14141,closed,5t33,false,Ben3eeE,false,0,2,361,0,361
14140,open,dennorske,false,null,false,null,8,399,0,null
14139,closed,peteruithoven,false,ungb,false,116,10,359,0,243
14138,closed,50Wliu,false,stale[bot],false,379,2,365,0,14
14133,open,ungb,false,null,false,null,5,365,0,null
14132,closed,wyujie,false,rsese,true,0,2,362,0,362
14130,closed,xjkdev,false,Ben3eeE,false,0,4,362,0,362
14129,closed,kolbma,false,50Wliu,false,0,2,362,0,362
14128,closed,brigand,false,rsese,true,0,4,362,0,362
14127,closed,Leva7,false,Leva7,false,141,10,360,0,219
14126,closed,jcpny1,false,50Wliu,false,0,3,363,0,363
14124,open,50Wliu,false,null,false,null,1,0,365,null
14123,closed,jasghoy,false,50Wliu,false,0,1,0,363,363
14122,closed,kevinhylant,false,50Wliu,false,0,2,363,0,363
14121,closed,noahholley,false,damieng,false,0,4,363,0,363
14120,closed,kaustubhhiware,false,50Wliu,false,0,4,363,0,363
14118,closed,USI-Carbol,false,50Wliu,false,0,2,363,0,363
14115,closed,MCSophie,false,stale[bot],false,380,2,366,0,14
14114,closed,neildocs,false,stale[bot],false,381,6,366,0,14
14113,open,queued37,false,null,false,null,3,1,0,null
14112,open,AnthonyWC,false,null,false,null,9,136,1,null
14111,closed,nakulbende,false,rsese,true,132,5,361,2,231
14110,closed,MoritzKn,false,50Wliu,false,1,3,365,0,364
14109,closed,cs150bf,false,50Wliu,false,2,4,366,0,363
14106,closed,AmauryCarrade,false,50Wliu,false,0,3,366,0,366
14105,closed,Sorunome,false,rsese,true,0,2,366,0,366
14102,closed,kierans,false,damieng,false,2,1,0,367,365
14101,open,dfindley,false,null,false,null,17,332,0,null
14100,closed,wkk-knight,false,rsese,true,0,2,367,0,367
14099,closed,Mizzlr,false,rsese,true,0,2,367,0,367
14098,closed,lishoujun,false,rsese,true,0,2,367,0,367
14097,closed,rajinder-yadav,false,rsese,true,0,2,367,0,367
14095,closed,alppike,false,thomasjo,false,0,2,368,0,368
14094,closed,MOIS3S,false,rsese,true,35,3,367,0,332
14092,closed,juschu,false,stale[bot],false,379,1,0,365,14
14091,closed,gustavohmsilva,false,rsese,true,0,2,367,0,367
14090,closed,juschu,false,stale[bot],false,379,1,0,365,14
14089,closed,diesire,false,stale[bot],false,387,6,372,1,14
