id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
9203,closed,sancarn,false,kevinsawicki,true,11,3,11,0,0
9202,closed,fttx,false,MarshallOfSound,false,0,1,0,0,0
9201,closed,ph55,false,zcbenz,true,65,7,352,0,286
9200,closed,dok,false,MarshallOfSound,false,0,3,0,0,0
9199,closed,herrjemand,false,herrjemand,false,5,11,223,0,217
9198,closed,xyyaya,false,xyyaya,false,0,2,0,0,0
9197,closed,juturu,false,poiru,false,1,0,null,null,null
9196,closed,cuixiping,false,MarshallOfSound,false,0,2,0,0,0
9193,closed,sla89,false,sla89,false,3,4,327,0,323
9192,open,Thomas101,false,null,false,null,15,207,3,null
9191,closed,lneir,false,zcbenz,true,17,11,0,13,3
9190,closed,fantasticsid,false,sofianguy,false,293,8,293,0,0
9189,closed,ivandroid,false,zcbenz,true,67,6,66,0,0
9188,closed,CharlieHess,false,CharlieHess,false,11,3,10,0,0
9186,closed,tejohnso,false,MarshallOfSound,false,0,9,48,0,48
9184,closed,niik,true,niik,true,0,1,0,0,0
9183,closed,Dexwell,false,poiru,false,1,0,null,null,null
9182,closed,iamdriz,false,MarshallOfSound,false,0,1,0,0,0
9181,closed,rafoid,false,poiru,false,0,1,0,0,0
9179,open,asrperio,false,zcbenz,true,null,22,392,0,null
9177,closed,LoganArnett,false,zcbenz,true,63,2,63,0,0
9176,closed,aight8,false,MarshallOfSound,false,0,1,0,0,0
9175,closed,aight8,false,zcbenz,true,63,4,63,0,0
9174,closed,aight8,false,zcbenz,true,63,2,62,0,0
9173,open,Thomas101,false,kevinsawicki,true,null,12,351,12,null
9172,closed,nicolasandrieux,false,MarshallOfSound,false,0,2,0,0,0
9171,closed,sonofachuck,false,sonofachuck,false,7,1,0,2,4
9170,closed,jschimmoeller,false,kevinsawicki,true,93,1,0,15,77
9165,closed,snene,false,zcbenz,true,64,9,91,0,27
9164,closed,elvisvoer,false,kevinsawicki,true,16,2,14,1,0
9163,closed,capc0,false,zcbenz,true,64,2,64,0,0
9162,closed,brysgo,false,zcbenz,true,64,9,301,2,238
9161,closed,BentleyBlanks,false,BentleyBlanks,false,0,2,0,0,0
9160,closed,snene,false,kevinsawicki,true,16,7,0,15,0
9159,open,Dexwell,false,null,false,null,1,0,10,null
9156,closed,Quirinus,false,Quirinus,false,0,1,0,0,0
9153,closed,stek29,false,zcbenz,true,66,1,0,66,0
9152,closed,blksheep93,false,enlight,false,0,1,0,0,0
9150,closed,myfrndjk,false,MarshallOfSound,false,0,3,0,0,0
9147,closed,jzimmek,false,zcbenz,true,68,2,223,68,223
9146,closed,amhoho,false,kevinsawicki,true,19,2,18,1,0
9143,closed,anandanand84,false,kevinsawicki,true,4,2,1,2,0
9142,closed,datnordstrom,false,MarshallOfSound,false,0,1,0,0,0
9141,closed,devKepler,false,devKepler,false,0,3,0,0,0
9139,closed,jlongster,false,zcbenz,true,79,4,0,3,75
9138,closed,WinnerNeverQuits,false,kevinsawicki,true,54,2,35,18,0
9135,closed,devKepler,false,MarshallOfSound,false,0,4,0,0,0
9131,closed,Dexwell,false,kevinsawicki,true,0,1,0,0,0
9130,closed,tonychen0716,false,cifratila,false,4,2,4,0,0
9128,closed,cumajkeee,false,kevinsawicki,true,5,0,null,null,null
9127,closed,Sharim,false,kevinsawicki,true,21,2,1,19,0
9123,closed,aight8,false,aight8,false,7,1,0,7,0
9122,closed,Daniel-Patino,false,kevinsawicki,true,0,3,0,0,0
9121,closed,CharlieHess,false,kevinsawicki,true,60,5,3,40,17
9120,open,mzmiric5,false,null,false,null,0,null,null,null
9119,closed,cumajkeee,false,zcbenz,true,70,2,0,70,0
9118,open,midweststudios,false,null,false,null,1,0,1,null
9115,closed,sn0opr,false,MarshallOfSound,false,0,4,0,0,0
9114,closed,Necmttn,false,enlight,false,0,4,314,0,314
9112,closed,fonghuiyue,false,MarshallOfSound,false,0,0,null,null,null
9110,open,cuixiping,false,null,false,null,9,245,0,null
9109,closed,TimNZ,false,TimNZ,false,0,5,57,0,57
9107,closed,benjaminfresh,false,benjaminfresh,false,0,2,0,0,0
12644,closed,brandon-bethke-neudesic,false,codebytere,true,0,2,0,0,0
12640,open,alexeykuzmin,false,null,false,null,1,0,0,null
12639,open,alexeykuzmin,false,null,false,null,0,null,null,null
12638,closed,sindresorhus,false,MarshallOfSound,false,0,1,0,0,0
12636,closed,sindresorhus,false,MarshallOfSound,false,29,1,0,2,27
12635,open,timfish,false,null,false,null,0,null,null,null
12634,open,KochiyaOcean,false,null,false,null,3,18,0,null
12633,closed,albu77,false,codebytere,true,2,2,2,0,0
12632,closed,universeroc,false,codebytere,true,17,4,14,2,0
12631,open,nornagon,false,null,false,null,7,16,0,null
12628,closed,Polenov,false,ckerr,true,0,4,0,0,0
