id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1002,closed,sdimkov,false,technicalpickles,true,51,0,null,null,null
1001,closed,wpmjones,false,wpmjones,false,4,2,0,13,9
998,closed,Chris911,false,michaelansel,false,0,2,7,0,7
997,closed,sdimkov,false,stale[bot],false,708,11,699,0,8
995,closed,Jaglag,false,michaelansel,false,4,4,1,2,0
992,closed,cycomachead,false,stale[bot],false,712,1,0,1,711
990,closed,tylkas,false,michaelansel,false,17,3,10,7,0
989,closed,michaelansel,false,stale[bot],false,716,0,null,null,null
988,closed,brpaz,false,mose,false,693,4,693,0,0
987,closed,ianwesty,false,technicalpickles,true,0,2,1,0,1
985,closed,michaelansel,false,technicalpickles,true,204,9,179,0,25
983,closed,jexe,false,michaelansel,false,9,1,0,0,9
979,closed,NanoDami,false,technicalpickles,true,8,6,8,0,0
977,closed,jasonkarns,false,technicalpickles,true,1,14,1,0,0
976,closed,shaundon,false,stale[bot],false,728,6,16,0,712
972,closed,Sing-Li,false,bhuga,false,0,2,0,0,0
968,closed,technicalpickles,true,stale[bot],false,730,2,8,0,721
965,open,technicalpickles,true,stale[bot],false,null,12,736,5,null
963,closed,victorhooi,false,stale[bot],false,733,7,12,3,718
960,closed,bkeepers,true,bkeepers,true,1,1,0,1,0
957,closed,victorhooi,false,stale[bot],false,735,1,0,1,733
954,closed,eliassal,false,stale[bot],false,738,4,1,3,733
953,closed,sdimkov,false,bkeepers,true,8,16,10,2,4
952,closed,victorhooi,false,stale[bot],false,745,5,9,0,736
950,closed,ambikads,false,mose,false,724,6,728,5,9
948,closed,victorhooi,false,victorhooi,false,2,2,2,0,0
946,closed,a-x-,false,technicalpickles,true,0,1,0,0,0
941,closed,frdmn,false,bkeepers,true,718,8,718,0,0
940,closed,kasajian,false,bkeepers,true,24,3,0,24,0
939,closed,cha55son,false,stale[bot],false,840,4,818,15,7
934,closed,jelmersnoeck,false,technicalpickles,true,31,3,0,31,0
932,closed,noahgrant,false,bkeepers,true,34,6,34,0,0
928,closed,ap13p,false,stale[bot],false,771,1,0,0,771
925,closed,tudorlesan,false,stale[bot],false,776,12,90,0,686
923,closed,xrd,false,stale[bot],false,779,7,655,115,8
919,closed,michaelansel,false,technicalpickles,true,322,18,422,0,100
916,closed,technicalpickles,true,gjtorikian,false,62,8,59,2,0
913,closed,jomo,false,technicalpickles,true,1,1,0,1,0
912,closed,ezgoodnight,false,ezgoodnight,false,0,5,0,0,0
907,closed,BonaBeavis,false,BonaBeavis,false,0,2,0,0,0
904,closed,technicalpickles,true,stale[bot],false,807,1,0,1,806
902,closed,mvaneijgen,false,bkeepers,true,76,2,69,7,0
901,closed,technicalpickles,true,technicalpickles,true,82,5,82,0,0
896,closed,err0,false,technicalpickles,true,6,0,null,null,null
895,closed,technicalpickles,true,technicalpickles,true,799,2,705,93,0
894,closed,100ideas,false,technicalpickles,true,6,6,6,0,0
891,closed,fordlee404,false,technicalpickles,true,0,8,5,0,4
880,closed,victorhooi,false,stale[bot],false,818,1,0,3,814
878,closed,victorhooi,false,technicalpickles,true,85,1,0,4,80
875,closed,mal,false,stale[bot],false,828,2,1,4,822
874,closed,abderrahmengharsallah,false,technicalpickles,true,98,9,879,8,788
873,closed,michaelansel,false,technicalpickles,true,818,3,818,0,0
872,closed,michaelansel,false,technicalpickles,true,820,2,820,0,0
866,closed,michaeljhopkins,false,bkeepers,true,825,8,825,0,0
862,closed,cycomachead,false,stale[bot],false,848,2,51,2,794
858,closed,michaelansel,false,stale[bot],false,855,6,16,0,838
1414,closed,veganexe,false,veganexe,false,0,0,null,null,null
1413,closed,veganexe,false,veganexe,false,1,2,0,0,0
1412,closed,wickr-pak,false,wickr-pak,false,34,1,0,34,0
1410,closed,wijesharma,false,wijesharma,false,11,0,null,null,null
1409,open,uCreateStudio,false,null,false,null,1,0,0,null
