id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
667,closed,jbr,false,technicalpickles,false,30,0,null,null,null
67,closed,janx,false,null,false,0,0,null,null,null
670,closed,cozmo,false,null,false,1255,4,155,27,1072
671,closed,Restuta,false,technicalpickles,false,4,0,null,null,null
672,closed,spajus,false,null,false,2,0,null,null,null
674,closed,miyagawa,false,null,false,7,0,null,null,null
676,closed,aaronstaves,false,null,false,321,0,null,null,null
677,closed,miyagawa,false,technicalpickles,false,0,0,null,null,null
678,closed,ajkerr,false,mose,false,1144,3,0,0,1143
684,closed,etoxin,false,null,false,1130,1,0,6,1124
685,closed,hbakhtiyor,false,null,false,310,0,null,null,null
686,closed,dancrumb,false,null,false,1128,4,0,14,1114
687,closed,dancrumb,false,null,false,0,0,null,null,null
688,closed,aripollak,false,null,false,1,0,null,null,null
689,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
69,closed,markpasc,false,null,false,1,0,null,null,null
690,closed,william-p,false,null,false,1208,0,null,null,null
693,closed,therealklanni,false,null,false,19,0,null,null,null
695,closed,dblandin,false,technicalpickles,false,11,0,null,null,null
696,closed,canadianveggie,false,technicalpickles,false,10,0,null,null,null
697,closed,thiagogabriel,false,technicalpickles,false,8,0,null,null,null
698,closed,milyh,false,null,false,1102,0,null,null,null
699,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
70,closed,vinteo,false,tmm1,false,0,0,null,null,null
700,closed,technicalpickles,true,null,false,1103,0,null,null,null
701,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
702,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
703,closed,tricknotes,false,technicalpickles,false,2,0,null,null,null
708,closed,softarn,false,technicalpickles,false,7,5,0,0,6
709,closed,atmos,false,null,false,8,3,0,7,0
710,closed,patcon,false,null,false,593,0,null,null,null
712,closed,ngs,false,technicalpickles,false,1,0,null,null,null
714,closed,atmos,false,null,false,0,3,0,0,0
715,closed,srobroek,false,null,false,1247,5,1,258,987
717,closed,therealklanni,false,null,false,86,0,null,null,null
720,closed,parkr,true,technicalpickles,false,34,6,0,4,30
722,closed,alan-andrade,false,null,false,393,0,null,null,null
723,closed,y13i,false,null,false,0,0,null,null,null
724,closed,michaelansel,false,null,false,119,4,0,61,58
726,closed,enykeev,false,null,false,1057,0,null,null,null
730,closed,keithduncan,true,null,false,147,0,null,null,null
732,closed,technicalpickles,true,technicalpickles,false,8,0,null,null,null
736,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
737,closed,rsanheim,false,rsanheim,false,0,0,null,null,null
74,closed,OiNutter,false,atmos,false,0,0,null,null,null
743,closed,huafu,false,technicalpickles,false,6,0,null,null,null
744,closed,tristanguo,false,null,false,1009,5,5,25,978
745,closed,jjasghar,false,technicalpickles,false,0,0,null,null,null
746,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
747,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
748,closed,technicalpickles,true,technicalpickles,false,33,0,null,null,null
749,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
75,closed,tombell,false,technoweenie,false,0,0,null,null,null
750,closed,charlie-hadden,false,technicalpickles,false,0,0,null,null,null
752,closed,conradkdotcom,false,null,false,1072,0,null,null,null
754,closed,tspascoal,false,technicalpickles,false,0,0,null,null,null
755,closed,therealklanni,false,null,false,10,0,null,null,null
756,closed,packetmonkey,false,technicalpickles,false,0,0,null,null,null
76,closed,pescuma,false,null,false,2,0,null,null,null
761,closed,drstevens,false,null,false,0,1,0,0,0
762,closed,bouzuya,false,technicalpickles,false,50,0,null,null,null
764,closed,technicalpickles,true,technicalpickles,false,39,0,null,null,null
769,closed,unok,false,technicalpickles,false,6,0,null,null,null
770,closed,shokai,false,null,false,153,0,null,null,null
772,closed,therealklanni,false,null,false,966,0,null,null,null
773,closed,Mumakil,false,null,false,1067,1,0,36,1031
775,closed,therealklanni,false,null,false,971,0,null,null,null
776,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
777,closed,hassaku,false,null,false,0,0,null,null,null
782,closed,Dr--Feelgood,false,null,false,0,0,null,null,null
784,closed,sethjackson,false,technicalpickles,false,0,0,null,null,null
788,closed,kevinsimper,false,technicalpickles,false,125,1,0,1,123
789,closed,edsfocci,false,null,false,7,0,null,null,null
79,closed,markstory,false,atmos,false,2,0,null,null,null
790,closed,edsfocci,false,null,false,4,0,null,null,null
791,closed,aroben,false,technicalpickles,false,0,0,null,null,null
792,closed,technicalpickles,true,null,false,0,0,null,null,null
793,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
794,closed,ahayworth,false,technicalpickles,false,12,0,null,null,null
795,closed,rantrix,false,technicalpickles,false,10,0,null,null,null
796,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
797,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
80,closed,andyfowler,false,atmos,false,0,0,null,null,null
800,closed,technicalpickles,true,technicalpickles,false,43,0,null,null,null
801,closed,michaelansel,false,michaelansel,false,225,11,9,0,215
802,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
803,closed,michaelansel,false,michaelansel,false,278,51,275,2,0
805,closed,MrSaints,false,technicalpickles,false,0,0,null,null,null
806,closed,tombell,false,technicalpickles,false,1,0,null,null,null
807,closed,miquelp,false,null,false,0,0,null,null,null
808,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
809,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
810,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
814,closed,technicalpickles,true,technicalpickles,false,6,0,null,null,null
816,closed,benodom,false,technicalpickles,false,0,0,null,null,null
817,closed,TheIronMarx,false,technicalpickles,false,0,0,null,null,null
818,closed,JrGoodle,false,technicalpickles,false,4,0,null,null,null
819,closed,akiomik,false,technicalpickles,false,6,0,null,null,null
82,closed,mislav,true,null,false,0,1,0,0,0
820,closed,stkent,false,technicalpickles,false,0,0,null,null,null
821,closed,cameronmcefee,false,null,false,19,1,0,0,19
824,closed,keithduncan,true,technicalpickles,false,1,0,null,null,null
825,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
83,closed,Excedrin,false,atmos,false,0,0,null,null,null
831,closed,kballard,false,technicalpickles,false,6,0,null,null,null
832,closed,brianshumate,false,technicalpickles,false,3,0,null,null,null
835,closed,technicalpickles,true,technicalpickles,false,2,0,null,null,null
836,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
837,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
839,closed,todd,false,technicalpickles,false,74,3,1,51,21
840,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
841,closed,afeld,false,null,false,51,2,0,0,51
842,closed,xrd,false,technicalpickles,false,6,0,null,null,null
848,closed,aroben,false,technicalpickles,false,25,0,null,null,null
849,closed,anroots,false,technicalpickles,false,1,0,null,null,null
85,closed,sishen,false,null,false,0,0,null,null,null
856,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
857,closed,ablwr,false,technicalpickles,false,10,1,0,10,0
86,closed,sethtrain,false,null,false,0,0,null,null,null
860,closed,danilovaz,false,null,false,12,1,0,5,6
861,closed,SuriyaaKudoIsc,false,null,false,12,0,null,null,null
863,closed,silasb,false,null,false,11,0,null,null,null
864,closed,michaelansel,false,technicalpickles,false,5,0,null,null,null
865,closed,hhaidar,false,technicalpickles,false,1,0,null,null,null
867,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
868,closed,michaelansel,false,null,false,907,2,0,113,793
869,closed,afeld,false,technicalpickles,false,0,0,null,null,null
87,closed,atmos,false,null,false,211,0,null,null,null
870,closed,technicalpickles,true,technicalpickles,false,0,1,0,0,0
871,closed,michaelansel,false,null,false,907,3,106,0,800
876,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
877,closed,technicalpickles,true,technicalpickles,false,4,12,3,1,0
879,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
881,closed,technicalpickles,true,technicalpickles,false,0,5,0,0,0
882,closed,technicalpickles,true,technicalpickles,false,0,2,0,0,0
883,closed,leefaus,true,technicalpickles,false,5,8,5,0,0
884,closed,michaelansel,false,michaelansel,false,83,0,null,null,null
885,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
886,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
887,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
888,closed,geoffreyanderson,false,technicalpickles,false,20,0,null,null,null
889,closed,mcmahoniel,false,technicalpickles,false,3,0,null,null,null
890,closed,ricardopolo,false,null,false,3,0,null,null,null
893,closed,rwitchell,false,null,false,2,0,null,null,null
897,closed,100ideas,false,null,false,0,0,null,null,null
898,closed,100ideas,false,technicalpickles,false,5,0,null,null,null
899,closed,Taytay,false,technicalpickles,false,16,1,0,16,0
900,closed,Taytay,false,null,false,794,0,null,null,null
903,closed,michaelansel,false,michaelansel,false,74,4,0,0,74
905,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
906,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
908,closed,keithduncan,true,technicalpickles,false,9,0,null,null,null
909,closed,lekansogunle,false,null,false,0,0,null,null,null
910,closed,lekansogunle,false,null,false,0,0,null,null,null
911,closed,ravikiranj,false,null,false,0,0,null,null,null
914,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
915,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
917,closed,cycomachead,false,null,false,775,0,null,null,null
918,closed,ChrisLundquist,false,technicalpickles,false,0,0,null,null,null
920,closed,caseymrm,false,null,false,4,0,null,null,null
921,closed,shokai,false,null,false,849,0,null,null,null
922,closed,sdimkov,false,null,false,61,4,0,51,10
924,closed,bhuga,false,null,false,45,6,0,0,45
926,closed,michaelansel,false,technicalpickles,false,4,0,null,null,null
927,closed,sdimkov,false,technicalpickles,false,42,0,null,null,null
929,closed,sdimkov,false,technicalpickles,false,0,0,null,null,null
93,closed,baloo,false,null,false,1,1,0,0,0
930,closed,jtallant,false,null,false,0,0,null,null,null
931,closed,petedmarsh,false,technicalpickles,false,39,0,null,null,null
933,closed,MaitreyaBuddha,false,null,false,0,0,null,null,null
935,closed,jcbantuelle,false,technicalpickles,false,6,0,null,null,null
936,closed,nounoursheureux,false,null,false,43,0,null,null,null
937,closed,chuej,false,null,false,5,0,null,null,null
938,closed,ta1kt0me,false,technicalpickles,false,30,2,0,5,24
94,closed,codec,false,atmos,false,0,0,null,null,null
942,closed,adamgross42,false,technicalpickles,false,9,0,null,null,null
943,closed,adamgross42,false,null,false,0,0,null,null,null
944,closed,adamgross42,false,technicalpickles,false,8,0,null,null,null
945,closed,adamgross42,false,bkeepers,false,17,0,null,null,null
947,closed,pauliwang,false,technicalpickles,false,5,0,null,null,null
949,closed,fcsonline,false,null,false,801,10,5,4,791
951,closed,pdehaan,false,bkeepers,false,8,0,null,null,null
955,closed,praseodym,false,technicalpickles,false,9,4,8,0,0
956,closed,bkeepers,true,bkeepers,false,2,13,2,0,0
958,closed,pdoconnell-zz,false,null,false,0,0,null,null,null
959,closed,bkeepers,true,bkeepers,false,0,0,null,null,null
961,closed,bkeepers,true,bkeepers,false,0,0,null,null,null
962,closed,bkeepers,true,bkeepers,false,0,0,null,null,null
964,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
966,closed,gjtorikian,true,technicalpickles,false,0,0,null,null,null
967,closed,sdimkov,false,technicalpickles,false,2,0,null,null,null
969,closed,technicalpickles,true,technicalpickles,false,0,3,0,0,0
970,closed,bkeepers,true,technicalpickles,false,333,1,0,0,333
971,closed,geoffreyanderson,false,michaelansel,false,13,6,12,0,1
973,closed,Sing-Li,false,bhuga,false,0,0,null,null,null
974,closed,bhuga,false,bhuga,false,0,0,null,null,null
975,closed,michaelansel,false,michaelansel,false,0,2,0,0,0
978,closed,jasonkarns,false,bkeepers,false,712,2,0,709,3
98,closed,MathildeLemee,false,atmos,false,1,2,0,0,0
980,closed,jasonkarns,false,michaelansel,false,0,0,null,null,null
981,closed,michaelansel,false,michaelansel,false,0,0,null,null,null
982,closed,bkeepers,true,technicalpickles,false,4,0,null,null,null
984,closed,uugengiven,false,technicalpickles,false,69,23,28,3,37
986,closed,michaelansel,false,technicalpickles,false,67,17,56,0,10
99,closed,markpasc,false,atmos,false,0,0,null,null,null
991,closed,jexe,false,michaelansel,false,0,0,null,null,null
993,closed,arcturial,false,michaelansel,false,10,0,null,null,null
994,closed,whichcoder,false,null,false,0,0,null,null,null
996,closed,lukefx,false,null,false,775,0,null,null,null
999,closed,sdimkov,false,michaelansel,false,0,0,null,null,null
