"","fep_median","cep_median","rep_median","unp_median","map_median","fep_mean","cep_mean","rep_mean","unp_mean","map_mean"
"atom",0,0,0.0647856922602529,0,0,0.14786384893305,0.541303894808957,2.77051274959542,0.199182277500898,1.06874729808687
"electron",0,0,0,0,0,0.137676627298804,0.706211075915869,0.853591095625674,0.729069876926169,0.819879895662056
"gitlfs",0,0,0,0,0,0.194714597204522,0.18864657533856,0.200194381641828,0.195584668704183,0.220859777110906
"hubot",0,0,0,0,0,0.207340746166098,0.187937852749554,0.308286199176017,0.174181403101674,0.122253798806657
"linguist",0.464285714285714,0,0,0,0,0.469299131174785,0.0898522384147193,0.163045538252548,0.168319936698277,0.109483155459669
